"Gen","ID","Fitness"
"1",1,"i 1",15630
"2",1,"i 2",23960
"3",1,"i 3",21100
"4",1,"i 4",10510
"5",1,"i 5",13960
"6",1,"i 6",23090
"7",1,"i 7",14070
"8",1,"i 8",23320
"9",1,"i 9",14830
"10",1,"i 10",13230
"11",1,"i 1",15630
"12",1,"i 2",23960
"13",1,"i 3",21100
"14",1,"i 4",10510
"15",1,"i 5",13960
"16",1,"i 6",23090
"17",1,"i 7",14070
"18",1,"i 8",23320
"19",1,"i 9",14830
"20",1,"i 10",13230
"21",1,"i 1",15630
"22",1,"i 2",23960
"23",1,"i 3",21100
"24",1,"i 4",10510
"25",1,"i 5",13960
"26",1,"i 6",23090
"27",1,"i 7",14070
"28",1,"i 8",23510
"29",1,"i 9",14830
"30",1,"i 10",13230
"31",1,"i 1",15630
"32",1,"i 2",23960
"33",1,"i 3",21100
"34",1,"i 4",10510
"35",1,"i 5",14580
"36",1,"i 6",23090
"37",1,"i 7",14070
"38",1,"i 8",23510
"39",1,"i 9",14830
"40",1,"i 10",13230
"41",1,"i 1",15630
"42",1,"i 2",23960
"43",1,"i 3",21100
"44",1,"i 4",10510
"45",1,"i 5",14380
"46",1,"i 6",23090
"47",1,"i 7",14070
"48",1,"i 8",23510
"49",1,"i 9",14830
"50",1,"i 10",13230
"51",1,"i 1",15630
"52",1,"i 2",23960
"53",1,"i 3",21100
"54",1,"i 4",10510
"55",1,"i 5",14380
"56",1,"i 6",23090
"57",1,"i 7",14070
"58",1,"i 8",23510
"59",1,"i 9",14830
"60",1,"i 10",13230
"61",1,"i 1",15630
"62",1,"i 2",23960
"63",1,"i 3",21100
"64",1,"i 4",10510
"65",1,"i 5",13960
"66",1,"i 6",23090
"67",1,"i 7",14070
"68",1,"i 8",23510
"69",1,"i 9",14830
"70",1,"i 10",13230
"71",1,"i 1",15630
"72",1,"i 2",23960
"73",1,"i 3",21100
"74",1,"i 4",10510
"75",1,"i 5",14380
"76",1,"i 6",23090
"77",1,"i 7",14070
"78",1,"i 8",23320
"79",1,"i 9",14830
"80",1,"i 10",13230
"81",1,"i 1",15630
"82",1,"i 2",23960
"83",1,"i 3",21100
"84",1,"i 4",10510
"85",1,"i 5",13960
"86",1,"i 6",23090
"87",1,"i 7",14070
"88",1,"i 8",23320
"89",1,"i 9",14830
"90",1,"i 10",13230
"91",1,"i 1",15630
"92",1,"i 2",23960
"93",1,"i 3",21100
"94",1,"i 4",10510
"95",1,"i 5",13960
"96",1,"i 6",23090
"97",1,"i 7",14070
"98",1,"i 8",23510
"99",1,"i 9",14830
"100",1,"i 10",13230
"101",1,"i 1",15630
"102",1,"i 2",23960
"103",1,"i 3",21100
"104",1,"i 4",10510
"105",1,"i 5",14580
"106",1,"i 6",23090
"107",1,"i 7",14070
"108",1,"i 8",23510
"109",1,"i 9",14830
"110",1,"i 10",13230
"111",1,"i 1",15630
"112",1,"i 2",23960
"113",1,"i 3",21100
"114",1,"i 4",10510
"115",1,"i 5",14580
"116",1,"i 6",23090
"117",1,"i 7",14070
"118",1,"i 8",23510
"119",1,"i 9",14830
"120",1,"i 10",13230
"121",1,"i 1",15630
"122",1,"i 2",23960
"123",1,"i 3",21100
"124",1,"i 4",10510
"125",1,"i 5",13960
"126",1,"i 6",23090
"127",1,"i 7",14070
"128",1,"i 8",23320
"129",1,"i 9",14830
"130",1,"i 10",13230
"131",1,"i 1",15630
"132",1,"i 2",23960
"133",1,"i 3",21100
"134",1,"i 4",10510
"135",1,"i 5",14380
"136",1,"i 6",23090
"137",1,"i 7",14070
"138",1,"i 8",23510
"139",1,"i 9",14830
"140",1,"i 10",13230
"141",1,"i 1",15630
"142",1,"i 2",23960
"143",1,"i 3",21100
"144",1,"i 4",10510
"145",1,"i 5",13960
"146",1,"i 6",23090
"147",1,"i 7",14070
"148",1,"i 8",23320
"149",1,"i 9",14830
"150",1,"i 10",13230
"151",1,"i 1",15630
"152",1,"i 2",23960
"153",1,"i 3",21100
"154",1,"i 4",10510
"155",1,"i 5",13960
"156",1,"i 6",23090
"157",1,"i 7",14070
"158",1,"i 8",23320
"159",1,"i 9",14830
"160",1,"i 10",13230
"161",1,"i 1",15630
"162",1,"i 2",23960
